Date,Close,High,Low,Open,Volume,returns,volatility,arima_pred
2019-10-09,11313.2998046875,11321.599609375,11090.150390625,11152.9501953125,741100,0.0166583095543536,0.0158462506188286,0.00046421664050308383
2019-10-10,11234.5498046875,11293.349609375,11208.5498046875,11280.5,562000,-0.0069851734480923,0.0158765962315443,-9.698609567927843e-05
2019-10-11,11305.0498046875,11362.900390625,11189.400390625,11257.7001953125,737800,0.006255677219734,0.0158916764218771,0.0007360706390561291
2019-10-14,11341.150390625,11420.4501953125,11290.0498046875,11335.900390625,587600,0.0031882272704231,0.0158929383510271,0.00015469707689874066
2019-10-15,11428.2998046875,11462.349609375,11342.099609375,11360.849609375,527400,0.0076549797105181,0.0158862010563411,0.00037536049424638165
2019-10-16,11464.0,11481.0498046875,11411.099609375,11464.9501953125,533500,0.0031189722795879,0.0158188295958233,0.0001925997397178066
2019-10-17,11586.349609375,11599.099609375,11439.650390625,11466.2998046875,797600,0.0106159568508184,0.0158177418170443,0.0003690459355297178
2019-10-18,11661.849609375,11684.7001953125,11553.150390625,11580.2998046875,853400,0.0064951495568105,0.0151885135757034,0.0001052290976240224
2019-10-22,11588.349609375,11714.349609375,11573.650390625,11657.150390625,867600,-0.0063225475319826,0.0153400558700184,0.0002871717834078415
2019-10-23,11604.099609375,11651.599609375,11554.400390625,11596.2001953125,664200,0.0013582008758651,0.0149183357072413,0.0006311616492533625
2019-10-24,11582.599609375,11679.599609375,11534.650390625,11661.650390625,700500,-0.0018545120164874,0.0101092779858547,0.0003247453120551676
2019-10-25,11583.900390625,11646.900390625,11490.75,11646.150390625,812000,0.0001122984698912,0.007956101321848,0.0004888943636846525
2019-10-29,11786.849609375,11809.400390625,11627.349609375,11643.9501953125,951700,0.0173682334074765,0.008811674610593,0.0003935915522675217
2019-10-30,11844.099609375,11883.9501953125,11784.4501953125,11883.900390625,725200,0.0048453501784329,0.0082692180616914,-0.00010263445309497446
2019-10-31,11877.4501953125,11945.0,11855.099609375,11890.4501953125,1414800,0.0028118405572833,0.0079708875727499,0.00038264816338547716
2019-11-01,11890.599609375,11918.2998046875,11843.349609375,11886.599609375,855300,0.0011064782775295,0.0078380894839747,0.0003361811873025475
